1454419239097.208,82.97,9.23,1.67
1454419441278.337,68.16,11.0,1.19
1454420723048.981,108.9,2.27,0.00
1454421152862.8792,80.35,2.74,0.00
1454421545066.783,98.46,1.61,0.00
1454421925437.5579,804.8,4.03,0.00
1454422102309.833,91.13,1.93,0.00
1454422435936.188,93.40,1.47,0.00
1454422723881.748,391.7,1.33,0.00
1454422858524.985, to r,,ut
1454422982345.091,100.0,1.59,0.00
1454460599352.736,71.81,14.8,0.21
1454460697110.729,57.42,15.5,0.14
1454460809029.608,67.01,10.8,0.00
1454461191536.866,59.66,17.6,0.00
1454461368640.3552,52.35,15.8,0.10
1454461430034.935,58.03,12.5,0.08
1454461527791.58,57.63,8.77,0.18
